[   1618ms] [harness] chrome: Chrome/152.0.7977.65
[   1619ms] [harness] navigating to http://localhost:8000/armagetronad.html
[     55ms] [console.error] WARNING: using emscripten GL emulation. This is a collection of limited workarounds, do not expect it to work.
[     55ms] [console.error] WARNING: using emscripten GL emulation unsafe opts. If weirdness happens, try -sGL_UNSAFE_OPTS=0
[     67ms] [page] load event fired
[   6832ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6832ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6832ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6842ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6843ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6849ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6849ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6849ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6858ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6858ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6863ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6863ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6863ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6875ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6876ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6880ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6881ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6881ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6892ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6893ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6898ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6899ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6902ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6908ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6909ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6913ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6913ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6914ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6926ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6926ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6931ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6932ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6932ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6942ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6943ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6948ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6949ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6949ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6959ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6959ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6965ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6965ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6966ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6976ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6976ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6982ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6982ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6983ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6993ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6993ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6999ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6999ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7000ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7008ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7008ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7013ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7013ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7013ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7025ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7026ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7031ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7032ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7033ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7043ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7043ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7048ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7048ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7049ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7061ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7061ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7065ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7065ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7066ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7076ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7076ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7081ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7082ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7082ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7092ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7093ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   7098ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
